headline,pubDate,tokens,lemmatized_tokens,source
‘Complete siege’ of Gaza: satellite map of worst affected areas,2023-10-20,"['‘Complete', 'siege’', 'of', 'Gaza:', 'satellite', 'map', 'of', 'worst', 'affected', 'areas']","['‘Complete', 'siege’', 'of', 'Gaza:', 'satellite', 'map', 'of', 'worst', 'affected', 'area']",guardian
"Israel destroyed 4,000 embryos by bombing an IVF centre in Gaza | Arwa Mahdawi",2024-04-20,"['Israel', 'destroyed', '4,000', 'embryos', 'by', 'bombing', 'an', 'IVF', 'centre', 'in', 'Gaza', '|', 'Arwa', 'Mahdawi']","['Israel', 'destroyed', '4,000', 'embryo', 'by', 'bombing', 'an', 'IVF', 'centre', 'in', 'Gaza', '|', 'Arwa', 'Mahdawi']",guardian
US and UK doctors in Washington to warn of IDF’s ‘appalling atrocities’ in Gaza,2024-03-20,"['US', 'and', 'UK', 'doctors', 'in', 'Washington', 'to', 'warn', 'of', 'IDF’s', '‘appalling', 'atrocities’', 'in', 'Gaza']","['US', 'and', 'UK', 'doctor', 'in', 'Washington', 'to', 'warn', 'of', 'IDF’s', '‘appalling', 'atrocities’', 'in', 'Gaza']",guardian
Gaza doctors save baby from womb of mother killed in Israeli airstrike,2024-04-22,"['Gaza', 'doctors', 'save', 'baby', 'from', 'womb', 'of', 'mother', 'killed', 'in', 'Israeli', 'airstrike']","['Gaza', 'doctor', 'save', 'baby', 'from', 'womb', 'of', 'mother', 'killed', 'in', 'Israeli', 'airstrike']",guardian
Hostages’ families clash with Israeli politicians over talk of death penalty,2023-11-20,"['Hostages’', 'families', 'clash', 'with', 'Israeli', 'politicians', 'over', 'talk', 'of', 'death', 'penalty']","['Hostages’', 'family', 'clash', 'with', 'Israeli', 'politician', 'over', 'talk', 'of', 'death', 'penalty']",guardian
UK teachers defy minister to back pro-Palestine motion,2024-04-04,"['UK', 'teachers', 'defy', 'minister', 'to', 'back', 'pro-Palestine', 'motion']","['UK', 'teacher', 'defy', 'minister', 'to', 'back', 'pro-Palestine', 'motion']",guardian
Labour’s response to the crisis in Gaza is a test of whether it’s fit to govern | John McDonnell,2023-11-03,"['Labour’s', 'response', 'to', 'the', 'crisis', 'in', 'Gaza', 'is', 'a', 'test', 'of', 'whether', 'it’s', 'fit', 'to', 'govern', '|', 'John', 'McDonnell']","['Labour’s', 'response', 'to', 'the', 'crisis', 'in', 'Gaza', 'is', 'a', 'test', 'of', 'whether', 'it’s', 'fit', 'to', 'govern', '|', 'John', 'McDonnell']",guardian
Netanyahu sets up emergency Israeli unity government and war cabinet,2023-10-11,"['Netanyahu', 'sets', 'up', 'emergency', 'Israeli', 'unity', 'government', 'and', 'war', 'cabinet']","['Netanyahu', 'set', 'up', 'emergency', 'Israeli', 'unity', 'government', 'and', 'war', 'cabinet']",guardian
Talks on Israel-Hamas hostage deal ‘constructive’ but meaningful gaps remain,2024-01-28,"['Talks', 'on', 'Israel-Hamas', 'hostage', 'deal', '‘constructive’', 'but', 'meaningful', 'gaps', 'remain']","['Talks', 'on', 'Israel-Hamas', 'hostage', 'deal', '‘constructive’', 'but', 'meaningful', 'gap', 'remain']",guardian
‘His days as a Labour MP are over’: Starmer condemns Corbyn’s Hamas stance,2023-11-17,"['‘His', 'days', 'as', 'a', 'Labour', 'MP', 'are', 'over’:', 'Starmer', 'condemns', 'Corbyn’s', 'Hamas', 'stance']","['‘His', 'day', 'a', 'a', 'Labour', 'MP', 'are', 'over’:', 'Starmer', 'condemns', 'Corbyn’s', 'Hamas', 'stance']",guardian
Biden condemns Hamas for ‘act of sheer evil’ and says US citizens taken hostage,2023-10-11,"['Biden', 'condemns', 'Hamas', 'for', '‘act', 'of', 'sheer', 'evil’', 'and', 'says', 'US', 'citizens', 'taken', 'hostage']","['Biden', 'condemns', 'Hamas', 'for', '‘act', 'of', 'sheer', 'evil’', 'and', 'say', 'US', 'citizen', 'taken', 'hostage']",guardian
UK students begin new wave of protests against Gaza war after US arrests,2024-05-01,"['UK', 'students', 'begin', 'new', 'wave', 'of', 'protests', 'against', 'Gaza', 'war', 'after', 'US', 'arrests']","['UK', 'student', 'begin', 'new', 'wave', 'of', 'protest', 'against', 'Gaza', 'war', 'after', 'US', 'arrest']",guardian
New Orleans police accused of excessive force as Gaza protesters arrested,2024-04-30,"['New', 'Orleans', 'police', 'accused', 'of', 'excessive', 'force', 'as', 'Gaza', 'protesters', 'arrested']","['New', 'Orleans', 'police', 'accused', 'of', 'excessive', 'force', 'a', 'Gaza', 'protester', 'arrested']",guardian
IDF says it has found Hamas tunnel shaft at al-Shifa hospital in Gaza,2023-11-16,"['IDF', 'says', 'it', 'has', 'found', 'Hamas', 'tunnel', 'shaft', 'at', 'al-Shifa', 'hospital', 'in', 'Gaza']","['IDF', 'say', 'it', 'ha', 'found', 'Hamas', 'tunnel', 'shaft', 'at', 'al-Shifa', 'hospital', 'in', 'Gaza']",guardian
Blinken urges Hamas to accept ‘extraordinarily generous’ Israeli ceasefire deal,2024-04-29,"['Blinken', 'urges', 'Hamas', 'to', 'accept', '‘extraordinarily', 'generous’', 'Israeli', 'ceasefire', 'deal']","['Blinken', 'urge', 'Hamas', 'to', 'accept', '‘extraordinarily', 'generous’', 'Israeli', 'ceasefire', 'deal']",guardian
PEN America invites writers who exited festival over Gaza to discuss ‘divergent views’,2024-03-20,"['PEN', 'America', 'invites', 'writers', 'who', 'exited', 'festival', 'over', 'Gaza', 'to', 'discuss', '‘divergent', 'views’']","['PEN', 'America', 'invite', 'writer', 'who', 'exited', 'festival', 'over', 'Gaza', 'to', 'discus', '‘divergent', 'views’']",guardian
UN chief ‘shocked’ by ‘misrepresentation’ of comments in row with Israel,2023-10-25,"['UN', 'chief', '‘shocked’', 'by', '‘misrepresentation’', 'of', 'comments', 'in', 'row', 'with', 'Israel']","['UN', 'chief', '‘shocked’', 'by', '‘misrepresentation’', 'of', 'comment', 'in', 'row', 'with', 'Israel']",guardian
Israel-Hamas war: what happened in first few days and what caused the conflict?,2023-10-08,"['Israel-Hamas', 'war:', 'what', 'happened', 'in', 'first', 'few', 'days', 'and', 'what', 'caused', 'the', 'conflict?']","['Israel-Hamas', 'war:', 'what', 'happened', 'in', 'first', 'few', 'day', 'and', 'what', 'caused', 'the', 'conflict?']",guardian
US calls for immediate Gaza ceasefire and hostage deal in draft UN resolution,2024-03-21,"['US', 'calls', 'for', 'immediate', 'Gaza', 'ceasefire', 'and', 'hostage', 'deal', 'in', 'draft', 'UN', 'resolution']","['US', 'call', 'for', 'immediate', 'Gaza', 'ceasefire', 'and', 'hostage', 'deal', 'in', 'draft', 'UN', 'resolution']",guardian
"In defying Joe Biden, Benjamin Netanyahu is exposing the limits of US power | Jonathan Freedland",2024-03-22,"['In', 'defying', 'Joe', 'Biden,', 'Benjamin', 'Netanyahu', 'is', 'exposing', 'the', 'limits', 'of', 'US', 'power', '|', 'Jonathan', 'Freedland']","['In', 'defying', 'Joe', 'Biden,', 'Benjamin', 'Netanyahu', 'is', 'exposing', 'the', 'limit', 'of', 'US', 'power', '|', 'Jonathan', 'Freedland']",guardian
Thousands march on Washington to demand ceasefire in Gaza,2024-01-13,"['Thousands', 'march', 'on', 'Washington', 'to', 'demand', 'ceasefire', 'in', 'Gaza']","['Thousands', 'march', 'on', 'Washington', 'to', 'demand', 'ceasefire', 'in', 'Gaza']",guardian
"Almost 50,000 Wisconsin voters just told Biden to stop the Gaza war. Will he listen? | Malaika Jabali",2024-04-04,"['Almost', '50,000', 'Wisconsin', 'voters', 'just', 'told', 'Biden', 'to', 'stop', 'the', 'Gaza', 'war.', 'Will', 'he', 'listen?', '|', 'Malaika', 'Jabali']","['Almost', '50,000', 'Wisconsin', 'voter', 'just', 'told', 'Biden', 'to', 'stop', 'the', 'Gaza', 'war.', 'Will', 'he', 'listen?', '|', 'Malaika', 'Jabali']",guardian
Scott Morrison accuses UN of antisemitism and applying double standards against Israel,2024-02-19,"['Scott', 'Morrison', 'accuses', 'UN', 'of', 'antisemitism', 'and', 'applying', 'double', 'standards', 'against', 'Israel']","['Scott', 'Morrison', 'accuses', 'UN', 'of', 'antisemitism', 'and', 'applying', 'double', 'standard', 'against', 'Israel']",guardian
Extremist Israeli settlers hit by EU and US sanctions,2024-04-19,"['Extremist', 'Israeli', 'settlers', 'hit', 'by', 'EU', 'and', 'US', 'sanctions']","['Extremist', 'Israeli', 'settler', 'hit', 'by', 'EU', 'and', 'US', 'sanction']",guardian
Revealed: how US residents are funding illegal settlements in the West Bank,2023-12-23,"['Revealed:', 'how', 'US', 'residents', 'are', 'funding', 'illegal', 'settlements', 'in', 'the', 'West', 'Bank']","['Revealed:', 'how', 'US', 'resident', 'are', 'funding', 'illegal', 'settlement', 'in', 'the', 'West', 'Bank']",guardian
Hundreds of Palestine supporters protest Israeli real estate event at New Jersey synagogue,2024-03-11,"['Hundreds', 'of', 'Palestine', 'supporters', 'protest', 'Israeli', 'real', 'estate', 'event', 'at', 'New', 'Jersey', 'synagogue']","['Hundreds', 'of', 'Palestine', 'supporter', 'protest', 'Israeli', 'real', 'estate', 'event', 'at', 'New', 'Jersey', 'synagogue']",guardian
Labour may fail to grab target seats as young voters turn away over Gaza and climate,2024-04-11,"['Labour', 'may', 'fail', 'to', 'grab', 'target', 'seats', 'as', 'young', 'voters', 'turn', 'away', 'over', 'Gaza', 'and', 'climate']","['Labour', 'may', 'fail', 'to', 'grab', 'target', 'seat', 'a', 'young', 'voter', 'turn', 'away', 'over', 'Gaza', 'and', 'climate']",guardian
How the uncommitted movement rocked Biden over Gaza,2024-03-17,"['How', 'the', 'uncommitted', 'movement', 'rocked', 'Biden', 'over', 'Gaza']","['How', 'the', 'uncommitted', 'movement', 'rocked', 'Biden', 'over', 'Gaza']",guardian
Tim Kaine: Biden knows Netanyahu ‘played’ him in early months of Gaza war,2024-04-11,"['Tim', 'Kaine:', 'Biden', 'knows', 'Netanyahu', '‘played’', 'him', 'in', 'early', 'months', 'of', 'Gaza', 'war']","['Tim', 'Kaine:', 'Biden', 'know', 'Netanyahu', '‘played’', 'him', 'in', 'early', 'month', 'of', 'Gaza', 'war']",guardian
New hopes of Gaza ceasefire as Israeli negotiators head to Paris,2024-02-23,"['New', 'hopes', 'of', 'Gaza', 'ceasefire', 'as', 'Israeli', 'negotiators', 'head', 'to', 'Paris']","['New', 'hope', 'of', 'Gaza', 'ceasefire', 'a', 'Israeli', 'negotiator', 'head', 'to', 'Paris']",guardian
Biden’s passivity about mass death in Gaza is a moral stain on his presidency | Mohamad Bazzi,2024-03-09,"['Biden’s', 'passivity', 'about', 'mass', 'death', 'in', 'Gaza', 'is', 'a', 'moral', 'stain', 'on', 'his', 'presidency', '|', 'Mohamad', 'Bazzi']","['Biden’s', 'passivity', 'about', 'mass', 'death', 'in', 'Gaza', 'is', 'a', 'moral', 'stain', 'on', 'his', 'presidency', '|', 'Mohamad', 'Bazzi']",guardian
‘It was a pogrom’: Be’eri survivors on the horrific attack by Hamas terrorists,2023-10-11,"['‘It', 'was', 'a', 'pogrom’:', 'Be’eri', 'survivors', 'on', 'the', 'horrific', 'attack', 'by', 'Hamas', 'terrorists']","['‘It', 'wa', 'a', 'pogrom’:', 'Be’eri', 'survivor', 'on', 'the', 'horrific', 'attack', 'by', 'Hamas', 'terrorist']",guardian
"In our orchestra, Israelis and Palestinians found common ground. Our hearts are broken by this conflict | Daniel Barenboim",2023-10-15,"['In', 'our', 'orchestra,', 'Israelis', 'and', 'Palestinians', 'found', 'common', 'ground.', 'Our', 'hearts', 'are', 'broken', 'by', 'this', 'conflict', '|', 'Daniel', 'Barenboim']","['In', 'our', 'orchestra,', 'Israelis', 'and', 'Palestinians', 'found', 'common', 'ground.', 'Our', 'heart', 'are', 'broken', 'by', 'this', 'conflict', '|', 'Daniel', 'Barenboim']",guardian
David Cameron accuses Israel of blocking key aid crossing in Gaza,2024-03-21,"['David', 'Cameron', 'accuses', 'Israel', 'of', 'blocking', 'key', 'aid', 'crossing', 'in', 'Gaza']","['David', 'Cameron', 'accuses', 'Israel', 'of', 'blocking', 'key', 'aid', 'crossing', 'in', 'Gaza']",guardian
"Banning arms sales to Israel would be ‘insane’, says Boris Johnson",2024-04-06,"['Banning', 'arms', 'sales', 'to', 'Israel', 'would', 'be', '‘insane’,', 'says', 'Boris', 'Johnson']","['Banning', 'arm', 'sale', 'to', 'Israel', 'would', 'be', '‘insane’,', 'say', 'Boris', 'Johnson']",guardian
Israel and Hamas at war: what we know on day 31,2023-11-06,"['Israel', 'and', 'Hamas', 'at', 'war:', 'what', 'we', 'know', 'on', 'day', '31']","['Israel', 'and', 'Hamas', 'at', 'war:', 'what', 'we', 'know', 'on', 'day', '31']",guardian
Nick Robinson says he ‘should have been clearer’ after Gaza interview row,2024-04-15,"['Nick', 'Robinson', 'says', 'he', '‘should', 'have', 'been', 'clearer’', 'after', 'Gaza', 'interview', 'row']","['Nick', 'Robinson', 'say', 'he', '‘should', 'have', 'been', 'clearer’', 'after', 'Gaza', 'interview', 'row']",guardian
What is the ICJ and what is South Africa’s claim against Israel?,2024-01-26,"['What', 'is', 'the', 'ICJ', 'and', 'what', 'is', 'South', 'Africa’s', 'claim', 'against', 'Israel?']","['What', 'is', 'the', 'ICJ', 'and', 'what', 'is', 'South', 'Africa’s', 'claim', 'against', 'Israel?']",guardian
Antony Blinken tells Israel: Palestinian rights are key to peace,2024-01-09,"['Antony', 'Blinken', 'tells', 'Israel:', 'Palestinian', 'rights', 'are', 'key', 'to', 'peace']","['Antony', 'Blinken', 'tell', 'Israel:', 'Palestinian', 'right', 'are', 'key', 'to', 'peace']",guardian
Israel releases 39 Palestinian prisoners as Hamas frees 17 hostages in latest stage of ceasefire deal,2023-11-26,"['Israel', 'releases', '39', 'Palestinian', 'prisoners', 'as', 'Hamas', 'frees', '17', 'hostages', 'in', 'latest', 'stage', 'of', 'ceasefire', 'deal']","['Israel', 'release', '39', 'Palestinian', 'prisoner', 'a', 'Hamas', 'free', '17', 'hostage', 'in', 'latest', 'stage', 'of', 'ceasefire', 'deal']",guardian
Joe Biden issues executive order against Israeli settlers in West Bank,2024-02-01,"['Joe', 'Biden', 'issues', 'executive', 'order', 'against', 'Israeli', 'settlers', 'in', 'West', 'Bank']","['Joe', 'Biden', 'issue', 'executive', 'order', 'against', 'Israeli', 'settler', 'in', 'West', 'Bank']",guardian
Senate Republicans block funding bill that included aid for Ukraine and Israel,2023-12-06,"['Senate', 'Republicans', 'block', 'funding', 'bill', 'that', 'included', 'aid', 'for', 'Ukraine', 'and', 'Israel']","['Senate', 'Republicans', 'block', 'funding', 'bill', 'that', 'included', 'aid', 'for', 'Ukraine', 'and', 'Israel']",guardian
"Israeli campaign to kill Hamas leaders likely to backfire, say earlier assassination targets",2023-12-23,"['Israeli', 'campaign', 'to', 'kill', 'Hamas', 'leaders', 'likely', 'to', 'backfire,', 'say', 'earlier', 'assassination', 'targets']","['Israeli', 'campaign', 'to', 'kill', 'Hamas', 'leader', 'likely', 'to', 'backfire,', 'say', 'earlier', 'assassination', 'target']",guardian
Momentum founder says leftwingers ‘in denial’ about pro-Palestinian slogans,2023-11-12,"['Momentum', 'founder', 'says', 'leftwingers', '‘in', 'denial’', 'about', 'pro-Palestinian', 'slogans']","['Momentum', 'founder', 'say', 'leftwingers', '‘in', 'denial’', 'about', 'pro-Palestinian', 'slogan']",guardian
Schumer faces backlash after calling for new Israeli elections to oust Netanyahu,2024-03-14,"['Schumer', 'faces', 'backlash', 'after', 'calling', 'for', 'new', 'Israeli', 'elections', 'to', 'oust', 'Netanyahu']","['Schumer', 'face', 'backlash', 'after', 'calling', 'for', 'new', 'Israeli', 'election', 'to', 'oust', 'Netanyahu']",guardian
Hundreds block off Westminster Bridge in call for Gaza ceasefire,2024-01-06,"['Hundreds', 'block', 'off', 'Westminster', 'Bridge', 'in', 'call', 'for', 'Gaza', 'ceasefire']","['Hundreds', 'block', 'off', 'Westminster', 'Bridge', 'in', 'call', 'for', 'Gaza', 'ceasefire']",guardian
An experts’ guide: culture to help understand the Israel-Palestine conflict,2023-11-12,"['An', 'experts’', 'guide:', 'culture', 'to', 'help', 'understand', 'the', 'Israel-Palestine', 'conflict']","['An', 'experts’', 'guide:', 'culture', 'to', 'help', 'understand', 'the', 'Israel-Palestine', 'conflict']",guardian
ICC urged to delay possible war crimes charges against Israel and Hamas,2024-04-29,"['ICC', 'urged', 'to', 'delay', 'possible', 'war', 'crimes', 'charges', 'against', 'Israel', 'and', 'Hamas']","['ICC', 'urged', 'to', 'delay', 'possible', 'war', 'crime', 'charge', 'against', 'Israel', 'and', 'Hamas']",guardian
Authors withdraw from PEN America festival in protest over Israel-Gaza war,2024-03-15,"['Authors', 'withdraw', 'from', 'PEN', 'America', 'festival', 'in', 'protest', 'over', 'Israel-Gaza', 'war']","['Authors', 'withdraw', 'from', 'PEN', 'America', 'festival', 'in', 'protest', 'over', 'Israel-Gaza', 'war']",guardian
Israel says it will launch Rafah assault if hostages not freed by Ramadan,2024-02-19,"['Israel', 'says', 'it', 'will', 'launch', 'Rafah', 'assault', 'if', 'hostages', 'not', 'freed', 'by', 'Ramadan']","['Israel', 'say', 'it', 'will', 'launch', 'Rafah', 'assault', 'if', 'hostage', 'not', 'freed', 'by', 'Ramadan']",guardian
‘All we can do is pray’: Jerusalem’s Old City on edge as Ramadan nears,2024-03-06,"['‘All', 'we', 'can', 'do', 'is', 'pray’:', 'Jerusalem’s', 'Old', 'City', 'on', 'edge', 'as', 'Ramadan', 'nears']","['‘All', 'we', 'can', 'do', 'is', 'pray’:', 'Jerusalem’s', 'Old', 'City', 'on', 'edge', 'a', 'Ramadan', 'nears']",guardian
