headline,pubDate,tokens,lemmatized_tokens,source,voice_spacy,Described Victim,Suffering Label,Perpetrator,mentions_death,Implicit Perpetrator,week,voice_gpt4
"Hamas attack shocks Israel, but what comes next?",2023-10-07,"['Hamas', 'attack', 'shocks', 'Israel,', 'but', 'what', 'comes', 'next?']","['Hamas', 'attack', 'shock', 'Israel,', 'but', 'what', 'come', 'next?']",bbc,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,active
Here is what to know about the surprise attack on Israel.,2023-10-07,"['Here', 'is', 'what', 'to', 'know', 'about', 'the', 'surprise', 'attack', 'on', 'Israel.']","['Here', 'is', 'what', 'to', 'know', 'about', 'the', 'surprise', 'attack', 'on', 'Israel.']",nyt,unclear,1.0,Israeli suffering,none,0,Other,2023-10-02,passive
Hamas Attack Has Haunting Echoes of the 1973 Yom Kippur War,2023-10-07,"['Hamas', 'Attack', 'Has', 'Haunting', 'Echoes', 'of', 'the', '1973', 'Yom', 'Kippur', 'War']","['Hamas', 'Attack', 'Has', 'Haunting', 'Echoes', 'of', 'the', '1973', 'Yom', 'Kippur', 'War']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,active
An Attack From Gaza and an Israeli Declaration of War. Now What?,2023-10-07,"['An', 'Attack', 'From', 'Gaza', 'and', 'an', 'Israeli', 'Declaration', 'of', 'War.', 'Now', 'What?']","['An', 'Attack', 'From', 'Gaza', 'and', 'an', 'Israeli', 'Declaration', 'of', 'War.', 'Now', 'What?']",nyt,unclear,1.0,Israeli suffering,none,0,Hamas,2023-10-02,active
Israel’s Military Says Hamas Has Taken Hostages,2023-10-07,"['Israel’s', 'Military', 'Says', 'Hamas', 'Has', 'Taken', 'Hostages']","['Israel’s', 'Military', 'Says', 'Hamas', 'Has', 'Taken', 'Hostages']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,active
Maps: Tracking the Attacks in Israel and Gaza,2023-10-07,"['Maps:', 'Tracking', 'the', 'Attacks', 'in', 'Israel', 'and', 'Gaza']","['Maps:', 'Tracking', 'the', 'Attacks', 'in', 'Israel', 'and', 'Gaza']",nyt,unclear,,No suffering described,none,0,Other,2023-10-02,active
G.O.P. Candidates Use Attacks on Israel to Criticize Biden for His Iran Deal,2023-10-07,"['G.O.P.', 'Candidates', 'Use', 'Attacks', 'on', 'Israel', 'to', 'Criticize', 'Biden', 'for', 'His', 'Iran', 'Deal']","['G.O.P.', 'Candidates', 'Use', 'Attacks', 'on', 'Israel', 'to', 'Criticize', 'Biden', 'for', 'His', 'Iran', 'Deal']",nyt,active,,No suffering described,none,0,Other,2023-10-02,active
Israel ‘at War’ After Hamas Attacks,2023-10-07,"['Israel', '‘at', 'War’', 'After', 'Hamas', 'Attacks']","['Israel', '‘at', 'War’', 'After', 'Hamas', 'Attacks']",nyt,unclear,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,active
Israel and Hamas at war after surprise attacks from Gaza Strip,2023-10-07,"['Israel', 'and', 'Hamas', 'at', 'war', 'after', 'surprise', 'attacks', 'from', 'Gaza', 'Strip']","['Israel', 'and', 'Hamas', 'at', 'war', 'after', 'surprise', 'attack', 'from', 'Gaza', 'Strip']",guardian,unclear,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,active
"‘We Are at War,’ Netanyahu Says After Hamas Attacks Israel",2023-10-07,"['‘We', 'Are', 'at', 'War,’', 'Netanyahu', 'Says', 'After', 'Hamas', 'Attacks', 'Israel']","['‘We', 'Are', 'at', 'War,’', 'Netanyahu', 'Says', 'After', 'Hamas', 'Attacks', 'Israel']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,active
